time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-14T02:30:08.190Z,38.8143349,-122.8219986,2.47,0.75,md,18,53,0.007827,0.02,nc,nc73678176,2022-01-14T02:31:46.240Z,"7km NW of The Geysers, CA",earthquake,0.24,0.73,0.22,3,automatic,nc,nc
2022-01-14T02:25:14.630Z,33.8238333,-118.2848333,8.91,1.52,ml,21,64,0.05936,0.24,ci,ci39912023,2022-01-14T02:29:09.803Z,"1km SSW of Carson, CA",earthquake,0.43,0.86,0.17,29,automatic,ci,ci
2022-01-14T02:24:29.520Z,40.0270004,-123.7470016,15.45,2.52,md,18,112,0.1429,0.13,nc,nc73678171,2022-01-14T02:26:10.867Z,"12km SSE of Redway, CA",earthquake,0.55,0.69,0.1,15,automatic,nc,nc
2022-01-14T02:20:31.850Z,38.8241653,-122.8041687,2.52,0.69,md,18,63,0.004676,0.01,nc,nc73678166,2022-01-14T02:22:06.564Z,"7km NW of The Geysers, CA",earthquake,0.23,0.59,0.48,3,automatic,nc,nc
2022-01-14T02:19:10.470Z,40.8544998,-122.3763351,4.36,1.45,md,6,310,0.2567,0.09,nc,nc73678161,2022-01-14T02:27:10.172Z,"19km N of Shasta Lake, CA",earthquake,8.02,10.34,0.18,5,automatic,nc,nc
2022-01-14T02:19:00.836Z,61.6105,-146.3412,30.7,2.3,ml,,,,0.58,ak,ak022n6tsso,2022-01-14T02:23:55.061Z,"48 km SSE of Nelchina, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-01-14T02:11:47.485Z,64.5224,-147.1505,12,1.1,ml,,,,0.28,ak,ak022n6s6ij,2022-01-14T02:15:03.858Z,"11 km W of Salcha, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-01-14T02:05:12.950Z,34.0078333,-118.503,10.11,1.36,ml,13,184,0.0492,0.27,ci,ci39912015,2022-01-14T02:08:52.541Z,"2km SW of Santa Monica, CA",earthquake,1.01,0.82,0.382,28,automatic,ci,ci
2022-01-14T02:01:12.640Z,33.7323333,-116.7556667,17.15,0.58,ml,15,162,0.04052,0.16,ci,ci39912007,2022-01-14T02:04:49.469Z,"4km WSW of Idyllwild, CA",earthquake,0.39,0.42,0.217,12,automatic,ci,ci
2022-01-14T01:50:09.392Z,62.2473,-151.804,93.5,1.6,ml,,,,0.32,ak,ak022n6f11n,2022-01-14T01:53:21.300Z,"35 km NW of Skwentna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2022-01-14T01:41:43.830Z,38.8321648,-122.8171692,1.7,0.85,md,15,53,0.01036,0.01,nc,nc73678151,2022-01-14T01:53:12.593Z,"8km NW of The Geysers, CA",earthquake,0.24,0.62,,1,automatic,nc,nc
2022-01-14T01:32:02.920Z,19.1728324890137,-155.510665893555,36.1599998474121,2.30999994,md,37,94,,0.129999995,hv,hv72871587,2022-01-14T01:35:16.690Z,"4 km SW of Pāhala, Hawaii",earthquake,0.53,0.930000007,0.200000003,17,automatic,hv,hv
2022-01-14T01:21:56.640Z,34.0785,-117.2753333,14.18,0.96,ml,29,100,0.1187,0.22,ci,ci39911999,2022-01-14T01:25:28.050Z,"4km E of Colton, CA",earthquake,0.38,0.99,0.169,26,automatic,ci,ci
2022-01-14T01:21:23.200Z,37.8849983,-121.9731674,12.4,2.45,md,57,56,0.09869,0.15,nc,nc73678146,2022-01-14T02:27:12.172Z,"6km NNW of Diablo, CA",earthquake,0.24,0.58,0.12,51,automatic,nc,nc
2022-01-14T01:19:30.700Z,34.0835,-117.2711667,13.28,1.97,ml,68,39,0.05741,0.17,ci,ci39911991,2022-01-14T01:23:15.260Z,"4km NNW of Loma Linda, CA",earthquake,0.18,0.47,0.16,26,automatic,ci,ci
2022-01-14T01:16:49.800Z,35.9905,-117.9238333,3.65,0.79,ml,13,95,0.03211,0.12,ci,ci39911983,2022-01-14T01:20:18.507Z,"6km NNW of Little Lake, CA",earthquake,0.32,0.8,0.179,11,automatic,ci,ci
2022-01-14T01:12:23.710Z,19.1721668243408,-155.488006591797,35.7200012207031,2.11999989,md,43,91,,0.100000001,hv,hv72871567,2022-01-14T01:15:28.580Z,"3 km SSW of Pāhala, Hawaii",earthquake,0.56,0.839999974,0.430000007,16,automatic,hv,hv
2022-01-14T01:10:00.960Z,19.1733341217041,-155.484497070312,29.9599990844727,2.0999999,md,40,150,,0.140000001,hv,hv72871562,2022-01-14T01:13:21.530Z,"3 km S of Pāhala, Hawaii",earthquake,0.6,0.980000019,1,12,automatic,hv,hv
2022-01-14T01:05:37.390Z,33.4801667,-116.7958333,6.05,0.29,ml,17,68,0.03234,0.13,ci,ci39911975,2022-01-14T01:36:37.791Z,"8km ENE of Aguanga, CA",earthquake,0.24,0.64,0.113,8,reviewed,ci,ci
2022-01-14T01:02:34.730Z,19.1959991455078,-155.482330322266,33.0699996948242,2.36,ml,50,80,,0.109999999,hv,hv72871557,2022-01-14T01:13:51.040Z,"0 km SSW of Pāhala, Hawaii",earthquake,0.5,0.670000017,4.31,11,automatic,hv,hv
2022-01-14T00:58:13.620Z,33.7015,-116.7221667,17.71,1.04,ml,39,53,0.01172,0.13,ci,ci39911959,2022-01-14T01:29:34.299Z,"4km S of Idyllwild, CA",earthquake,0.2,0.3,0.178,23,reviewed,ci,ci
2022-01-14T00:29:04.430Z,38.7893333,-122.7408371,2.14,0.21,md,9,90,0.006884,0.02,nc,nc73678136,2022-01-14T00:45:10.912Z,"2km NE of The Geysers, CA",earthquake,0.31,1.32,0.17,2,automatic,nc,nc
2022-01-14T00:25:17.540Z,35.8876667,-117.7293333,7.23,0.19,ml,9,78,0.08406,0.04,ci,ci39911927,2022-01-14T01:32:04.913Z,"17km ESE of Little Lake, CA",earthquake,0.18,0.67,0.022,3,reviewed,ci,ci
2022-01-14T00:18:45.506Z,38.1454,-117.9725,11,1.2,ml,15,132,0.012,0.1345,nn,nn00831717,2022-01-14T01:03:17.344Z,"29 km SSE of Mina, Nevada",earthquake,,0.9,0.32,5,reviewed,nn,nn
2022-01-14T00:13:01.404Z,61.6908,-150.7353,56,1.9,ml,,,,0.55,ak,ak022n5lnay,2022-01-14T00:20:31.507Z,"Southern Alaska",earthquake,,1.5,,,automatic,ak,ak
